id	code	name	img	created_at	updated_at
13	EST-013	Superman DC	imagenes/Estampado/EST_IMG13.png		
12	EST-012	Stitch Disney	imagenes/Estampado/EST_IMG12.png		
11	EST-011	Warhammer 40K	imagenes/Estampado/EST_IMG11.png		
10	EST-010	R2-D2 Robot	imagenes/Estampado/EST_IMG10.png		
9	EST-009	Panda Zen	imagenes/Estampado/EST_IMG9.png		
8	EST-008	Nami One Piece	imagenes/Estampado/EST_IMG8.png		
7	EST-007	Mono Artístico	imagenes/Estampado/EST_IMG7.png		
6	EST-006	Star Wars	imagenes/Estampado/EST_IMG6.png		
5	EST-005	Leona Salvaje	imagenes/Estampado/EST_IMG5.png		
4	EST-004	Hunter x Hunter	imagenes/Estampado/EST_IMG4.png		
3	EST-003	León Heráldico	imagenes/Estampado/EST_IMG3.png		
2	EST-002	Luffy One Piece	imagenes/Estampado/EST_IMG2.png		
1	EST-001	Cuervo Escudo	imagenes/Estampado/EST_IMG1.png		
					
